ts_index,lag_index,sigma
2.0000000000000000e+00,1.4200000000000000e+02,5.8120964532904684e-01
2.0000000000000000e+00,1.4300000000000000e+02,5.7571777580327144e-01
2.0000000000000000e+00,1.4400000000000000e+02,5.7362389678815695e-01
2.0000000000000000e+00,1.4500000000000000e+02,5.8943053166813320e-01
2.0000000000000000e+00,1.4600000000000000e+02,5.8750796164005370e-01
2.0000000000000000e+00,1.4700000000000000e+02,5.8814749947674638e-01
2.0000000000000000e+00,1.4800000000000000e+02,5.7887537750759921e-01
2.0000000000000000e+00,1.4900000000000000e+02,5.9068857926590379e-01
2.0000000000000000e+00,1.5000000000000000e+02,5.9802308653396630e-01
2.0000000000000000e+00,1.5100000000000000e+02,5.9200020630413797e-01
2.0000000000000000e+00,1.5200000000000000e+02,5.4465030670628578e-01
2.0000000000000000e+00,1.5300000000000000e+02,5.5065352960361091e-01
2.0000000000000000e+00,1.5400000000000000e+02,5.6020676852604556e-01
2.0000000000000000e+00,1.5500000000000000e+02,5.6380008140409676e-01
2.0000000000000000e+00,1.5600000000000000e+02,5.5717927096395048e-01
2.0000000000000000e+00,1.5700000000000000e+02,5.5466041559041013e-01
2.0000000000000000e+00,1.5800000000000000e+02,5.6874681360799284e-01
2.0000000000000000e+00,1.5900000000000000e+02,5.7372673143210240e-01
2.0000000000000000e+00,1.6000000000000000e+02,5.7045446231529684e-01
2.0000000000000000e+00,1.6100000000000000e+02,5.6239036093877448e-01
2.0000000000000000e+00,1.6200000000000000e+02,5.7707147602284992e-01
2.0000000000000000e+00,1.6300000000000000e+02,5.8894484522300272e-01
2.0000000000000000e+00,1.6400000000000000e+02,5.8760597137047299e-01
2.0000000000000000e+00,1.6500000000000000e+02,5.8067098213225454e-01
2.0000000000000000e+00,1.6600000000000000e+02,5.9123739001083864e-01
2.0000000000000000e+00,1.6700000000000000e+02,5.9965704048752766e-01
2.0000000000000000e+00,1.6800000000000000e+02,6.0410847579046945e-01
2.0000000000000000e+00,1.6900000000000000e+02,5.9629319749761867e-01
2.0000000000000000e+00,1.7000000000000000e+02,5.9581596756619815e-01
2.0000000000000000e+00,1.7100000000000000e+02,5.3039397872922822e-01
2.0000000000000000e+00,1.7200000000000000e+02,5.3423355072372336e-01
2.0000000000000000e+00,1.7300000000000000e+02,5.3341301280173159e-01
2.0000000000000000e+00,1.7400000000000000e+02,5.2416325796255314e-01
2.0000000000000000e+00,1.7500000000000000e+02,5.3990814105377005e-01
2.0000000000000000e+00,1.7600000000000000e+02,5.3886404679441025e-01
2.0000000000000000e+00,1.7700000000000000e+02,5.4381784367196495e-01
2.0000000000000000e+00,1.7800000000000000e+02,5.3189656450143330e-01
2.0000000000000000e+00,1.7900000000000000e+02,5.4445100345177877e-01
2.0000000000000000e+00,1.8000000000000000e+02,5.5260485421145533e-01
2.0000000000000000e+00,1.8100000000000000e+02,5.5704897990726865e-01
2.0000000000000000e+00,1.8200000000000000e+02,5.4718242130953876e-01
2.0000000000000000e+00,1.8300000000000000e+02,5.4993085113237306e-01
2.0000000000000000e+00,1.8400000000000000e+02,5.5926409275494304e-01
2.0000000000000000e+00,1.8500000000000000e+02,5.6688241654374250e-01
2.0000000000000000e+00,1.8600000000000000e+02,5.6661349413185047e-01
2.0000000000000000e+00,1.8700000000000000e+02,5.5851359795880506e-01
2.0000000000000000e+00,1.8800000000000000e+02,5.6270398758165685e-01
2.0000000000000000e+00,1.8900000000000000e+02,5.7469025989881684e-01
2.0000000000000000e+00,1.9000000000000000e+02,5.7192307152703303e-01
2.0000000000000000e+00,1.9100000000000000e+02,5.6806128686484680e-01
2.0000000000000000e+00,1.9200000000000000e+02,5.6906073999661999e-01
2.0000000000000000e+00,1.9300000000000000e+02,5.8224900632737964e-01
2.0000000000000000e+00,1.9400000000000000e+02,5.9643865736505464e-01
2.0000000000000000e+00,1.9500000000000000e+02,5.8800573732725658e-01
2.0000000000000000e+00,1.9600000000000000e+02,5.8579062128091497e-01
2.0000000000000000e+00,1.9700000000000000e+02,5.9951883802613604e-01
2.0000000000000000e+00,1.9800000000000000e+02,6.0162074858870307e-01
2.0000000000000000e+00,1.9900000000000000e+02,6.0320629475118703e-01
2.0000000000000000e+00,2.0000000000000000e+02,5.9151876843192486e-01
2.0000000000000000e+00,2.0100000000000000e+02,6.0589443875319793e-01
2.0000000000000000e+00,2.0200000000000000e+02,6.1305860898063658e-01
2.0000000000000000e+00,2.0300000000000000e+02,6.3126260080865992e-01
2.0000000000000000e+00,2.0400000000000000e+02,5.3832517938738078e-01
2.0000000000000000e+00,2.0500000000000000e+02,5.3915425716777288e-01
2.0000000000000000e+00,2.0600000000000000e+02,5.5713000251469591e-01
2.0000000000000000e+00,2.0700000000000000e+02,5.6069790054669522e-01
2.0000000000000000e+00,2.0800000000000000e+02,5.5932180552562338e-01
2.0000000000000000e+00,2.0900000000000000e+02,5.5338539162069633e-01
2.0000000000000000e+00,2.1000000000000000e+02,5.6497583911768290e-01
2.0000000000000000e+00,2.1100000000000000e+02,5.7684611402352515e-01
2.0000000000000000e+00,2.1200000000000000e+02,5.7616172344669325e-01
2.0000000000000000e+00,2.1300000000000000e+02,5.7092882171816739e-01
2.0000000000000000e+00,2.1400000000000000e+02,5.8528897341167474e-01
