ts_index,qs_index,u,q
0.0000000000000000e+00,1.9000000000000000e+01,8.0000000000000004e-01,1.0947468746528354e+01
0.0000000000000000e+00,1.9000000000000000e+01,9.8999999999999999e-01,1.1800237887419238e+01
0.0000000000000000e+00,2.0000000000000000e+01,1.0000000000000000e-02,9.2733380088952515e+00
0.0000000000000000e+00,2.0000000000000000e+01,2.0000000000000001e-01,1.0126107149786135e+01
0.0000000000000000e+00,2.0000000000000000e+01,5.0000000000000000e-01,1.0609501598802897e+01
0.0000000000000000e+00,2.0000000000000000e+01,8.0000000000000004e-01,1.1092896047819659e+01
0.0000000000000000e+00,2.0000000000000000e+01,9.8999999999999999e-01,1.1945665188710542e+01
1.0000000000000000e+00,0.0000000000000000e+00,1.0000000000000000e-02,8.7158724807048049e+00
1.0000000000000000e+00,0.0000000000000000e+00,2.0000000000000001e-01,9.5396340694074642e+00
1.0000000000000000e+00,0.0000000000000000e+00,5.0000000000000000e-01,1.0006585510539695e+01
1.0000000000000000e+00,0.0000000000000000e+00,8.0000000000000004e-01,1.0473536951671926e+01
1.0000000000000000e+00,0.0000000000000000e+00,9.8999999999999999e-01,1.1297298540374586e+01
1.0000000000000000e+00,1.0000000000000000e+00,1.0000000000000000e-02,8.8188939830096515e+00
1.0000000000000000e+00,1.0000000000000000e+00,2.0000000000000001e-01,9.6426555717123108e+00
1.0000000000000000e+00,1.0000000000000000e+00,5.0000000000000000e-01,1.0109607012844542e+01
1.0000000000000000e+00,1.0000000000000000e+00,8.0000000000000004e-01,1.0576558453976773e+01
1.0000000000000000e+00,1.0000000000000000e+00,9.8999999999999999e-01,1.1400320042679432e+01
1.0000000000000000e+00,2.0000000000000000e+00,1.0000000000000000e-02,8.5181341185471169e+00
1.0000000000000000e+00,2.0000000000000000e+00,2.0000000000000001e-01,9.3418957072497761e+00
1.0000000000000000e+00,2.0000000000000000e+00,5.0000000000000000e-01,9.8088471483820072e+00
1.0000000000000000e+00,2.0000000000000000e+00,8.0000000000000004e-01,1.0275798589514238e+01
1.0000000000000000e+00,2.0000000000000000e+00,9.8999999999999999e-01,1.1099560178216898e+01
1.0000000000000000e+00,3.0000000000000000e+00,1.0000000000000000e-02,8.4141406404149777e+00
1.0000000000000000e+00,3.0000000000000000e+00,2.0000000000000001e-01,9.2379022291176369e+00
1.0000000000000000e+00,3.0000000000000000e+00,5.0000000000000000e-01,9.7048536702498680e+00
1.0000000000000000e+00,3.0000000000000000e+00,8.0000000000000004e-01,1.0171805111382099e+01
1.0000000000000000e+00,3.0000000000000000e+00,9.8999999999999999e-01,1.0995566700084758e+01
1.0000000000000000e+00,4.0000000000000000e+00,1.0000000000000000e-02,8.3775583901527586e+00
1.0000000000000000e+00,4.0000000000000000e+00,2.0000000000000001e-01,9.2013199788554179e+00
1.0000000000000000e+00,4.0000000000000000e+00,5.0000000000000000e-01,9.6682714199876489e+00
1.0000000000000000e+00,4.0000000000000000e+00,8.0000000000000004e-01,1.0135222861119880e+01
1.0000000000000000e+00,4.0000000000000000e+00,9.8999999999999999e-01,1.0958984449822539e+01
1.0000000000000000e+00,5.0000000000000000e+00,1.0000000000000000e-02,8.3552982923065233e+00
1.0000000000000000e+00,5.0000000000000000e+00,2.0000000000000001e-01,9.1790598810091826e+00
1.0000000000000000e+00,5.0000000000000000e+00,5.0000000000000000e-01,9.6460113221414137e+00
1.0000000000000000e+00,5.0000000000000000e+00,8.0000000000000004e-01,1.0112962763273645e+01
1.0000000000000000e+00,5.0000000000000000e+00,9.8999999999999999e-01,1.0936724351976304e+01
1.0000000000000000e+00,6.0000000000000000e+00,1.0000000000000000e-02,8.4914539874646824e+00
1.0000000000000000e+00,6.0000000000000000e+00,2.0000000000000001e-01,9.3152155761673416e+00
1.0000000000000000e+00,6.0000000000000000e+00,5.0000000000000000e-01,9.7821670172995727e+00
1.0000000000000000e+00,6.0000000000000000e+00,8.0000000000000004e-01,1.0249118458431804e+01
1.0000000000000000e+00,6.0000000000000000e+00,9.8999999999999999e-01,1.1072880047134463e+01
1.0000000000000000e+00,7.0000000000000000e+00,1.0000000000000000e-02,8.7441211242207562e+00
1.0000000000000000e+00,7.0000000000000000e+00,2.0000000000000001e-01,9.5818529955483136e+00
1.0000000000000000e+00,7.0000000000000000e+00,5.0000000000000000e-01,1.0056723528434986e+01
1.0000000000000000e+00,7.0000000000000000e+00,8.0000000000000004e-01,1.0531594061321659e+01
1.0000000000000000e+00,7.0000000000000000e+00,9.8999999999999999e-01,1.1369325932649216e+01
1.0000000000000000e+00,8.0000000000000000e+00,1.0000000000000000e-02,8.7758698225353360e+00
1.0000000000000000e+00,8.0000000000000000e+00,2.0000000000000001e-01,9.6136016938628934e+00
1.0000000000000000e+00,8.0000000000000000e+00,5.0000000000000000e-01,1.0088472226749566e+01
1.0000000000000000e+00,8.0000000000000000e+00,8.0000000000000004e-01,1.0563342759636239e+01
1.0000000000000000e+00,8.0000000000000000e+00,9.8999999999999999e-01,1.1401074630963796e+01
1.0000000000000000e+00,9.0000000000000000e+00,1.0000000000000000e-02,8.4568393376928324e+00
1.0000000000000000e+00,9.0000000000000000e+00,2.0000000000000001e-01,9.2945712090203898e+00
1.0000000000000000e+00,9.0000000000000000e+00,5.0000000000000000e-01,9.7694417419070625e+00
1.0000000000000000e+00,9.0000000000000000e+00,8.0000000000000004e-01,1.0244312274793735e+01
1.0000000000000000e+00,9.0000000000000000e+00,9.8999999999999999e-01,1.1082044146121293e+01
1.0000000000000000e+00,1.0000000000000000e+01,1.0000000000000000e-02,8.3159876702295357e+00
1.0000000000000000e+00,1.0000000000000000e+01,2.0000000000000001e-01,9.1537195415570931e+00
1.0000000000000000e+00,1.0000000000000000e+01,5.0000000000000000e-01,9.6285900744437658e+00
1.0000000000000000e+00,1.0000000000000000e+01,8.0000000000000004e-01,1.0103460607330438e+01
1.0000000000000000e+00,1.0000000000000000e+01,9.8999999999999999e-01,1.0941192478657996e+01
1.0000000000000000e+00,1.1000000000000000e+01,1.0000000000000000e-02,8.2772012733311158e+00
1.0000000000000000e+00,1.1000000000000000e+01,2.0000000000000001e-01,9.1149331446586732e+00
1.0000000000000000e+00,1.1000000000000000e+01,5.0000000000000000e-01,9.5898036775453459e+00
1.0000000000000000e+00,1.1000000000000000e+01,8.0000000000000004e-01,1.0064674210432019e+01
1.0000000000000000e+00,1.1000000000000000e+01,9.8999999999999999e-01,1.0902406081759576e+01
1.0000000000000000e+00,1.2000000000000000e+01,1.0000000000000000e-02,8.3078588874063115e+00
1.0000000000000000e+00,1.2000000000000000e+01,2.0000000000000001e-01,9.1455907587338690e+00
1.0000000000000000e+00,1.2000000000000000e+01,5.0000000000000000e-01,9.6204612916205416e+00
1.0000000000000000e+00,1.2000000000000000e+01,8.0000000000000004e-01,1.0095331824507214e+01
1.0000000000000000e+00,1.2000000000000000e+01,9.8999999999999999e-01,1.0933063695834772e+01
1.0000000000000000e+00,1.3000000000000000e+01,1.0000000000000000e-02,8.3836149461639788e+00
1.0000000000000000e+00,1.3000000000000000e+01,2.0000000000000001e-01,9.2213468174915363e+00
1.0000000000000000e+00,1.3000000000000000e+01,5.0000000000000000e-01,9.6962173503782090e+00
1.0000000000000000e+00,1.3000000000000000e+01,8.0000000000000004e-01,1.0171087883264882e+01
1.0000000000000000e+00,1.3000000000000000e+01,9.8999999999999999e-01,1.1008819754592439e+01
1.0000000000000000e+00,1.4000000000000000e+01,1.0000000000000000e-02,8.6087589718104827e+00
1.0000000000000000e+00,1.4000000000000000e+01,2.0000000000000001e-01,9.4528631747209566e+00
1.0000000000000000e+00,1.4000000000000000e+01,5.0000000000000000e-01,9.9313458806645247e+00
1.0000000000000000e+00,1.4000000000000000e+01,8.0000000000000004e-01,1.0409828586608093e+01
1.0000000000000000e+00,1.4000000000000000e+01,9.8999999999999999e-01,1.1253932789518567e+01
1.0000000000000000e+00,1.5000000000000000e+01,1.0000000000000000e-02,8.7220963403488625e+00
1.0000000000000000e+00,1.5000000000000000e+01,2.0000000000000001e-01,9.5662005432593364e+00
1.0000000000000000e+00,1.5000000000000000e+01,5.0000000000000000e-01,1.0044683249202905e+01
1.0000000000000000e+00,1.5000000000000000e+01,8.0000000000000004e-01,1.0523165955146473e+01
1.0000000000000000e+00,1.5000000000000000e+01,9.8999999999999999e-01,1.1367270158056947e+01
1.0000000000000000e+00,1.6000000000000000e+01,1.0000000000000000e-02,8.4214945114588726e+00
1.0000000000000000e+00,1.6000000000000000e+01,2.0000000000000001e-01,9.2655987143693466e+00
1.0000000000000000e+00,1.6000000000000000e+01,5.0000000000000000e-01,9.7440814203129147e+00
1.0000000000000000e+00,1.6000000000000000e+01,8.0000000000000004e-01,1.0222564126256483e+01
1.0000000000000000e+00,1.6000000000000000e+01,9.8999999999999999e-01,1.1066668329166957e+01
1.0000000000000000e+00,1.7000000000000000e+01,1.0000000000000000e-02,8.3442284921380505e+00
1.0000000000000000e+00,1.7000000000000000e+01,2.0000000000000001e-01,9.1883326950485245e+00
1.0000000000000000e+00,1.7000000000000000e+01,5.0000000000000000e-01,9.6668154009920926e+00
1.0000000000000000e+00,1.7000000000000000e+01,8.0000000000000004e-01,1.0145298106935661e+01
1.0000000000000000e+00,1.7000000000000000e+01,9.8999999999999999e-01,1.0989402309846135e+01
1.0000000000000000e+00,1.8000000000000000e+01,1.0000000000000000e-02,8.3031028933042812e+00
1.0000000000000000e+00,1.8000000000000000e+01,2.0000000000000001e-01,9.1472070962147551e+00
1.0000000000000000e+00,1.8000000000000000e+01,5.0000000000000000e-01,9.6256898021583233e+00
1.0000000000000000e+00,1.8000000000000000e+01,8.0000000000000004e-01,1.0104172508101891e+01
1.0000000000000000e+00,1.8000000000000000e+01,9.8999999999999999e-01,1.0948276711012365e+01
1.0000000000000000e+00,1.9000000000000000e+01,1.0000000000000000e-02,8.2585581109666801e+00
1.0000000000000000e+00,1.9000000000000000e+01,2.0000000000000001e-01,9.1026623138771541e+00
1.0000000000000000e+00,1.9000000000000000e+01,5.0000000000000000e-01,9.5811450198207222e+00
1.0000000000000000e+00,1.9000000000000000e+01,8.0000000000000004e-01,1.0059627725764290e+01
1.0000000000000000e+00,1.9000000000000000e+01,9.8999999999999999e-01,1.0903731928674764e+01
1.0000000000000000e+00,2.0000000000000000e+01,1.0000000000000000e-02,8.4240128881449419e+00
1.0000000000000000e+00,2.0000000000000000e+01,2.0000000000000001e-01,9.2681170910554158e+00
1.0000000000000000e+00,2.0000000000000000e+01,5.0000000000000000e-01,9.7465997969989839e+00
1.0000000000000000e+00,2.0000000000000000e+01,8.0000000000000004e-01,1.0225082502942552e+01
1.0000000000000000e+00,2.0000000000000000e+01,9.8999999999999999e-01,1.1069186705853026e+01
2.0000000000000000e+00,0.0000000000000000e+00,1.0000000000000000e-02,8.2070899762387128e+00
2.0000000000000000e+00,0.0000000000000000e+00,2.0000000000000001e-01,9.0195289386557853e+00
2.0000000000000000e+00,0.0000000000000000e+00,5.0000000000000000e-01,9.4800621190509702e+00
2.0000000000000000e+00,0.0000000000000000e+00,8.0000000000000004e-01,9.9405952994461568e+00
2.0000000000000000e+00,0.0000000000000000e+00,9.8999999999999999e-01,1.0753034261863228e+01
2.0000000000000000e+00,1.0000000000000000e+00,1.0000000000000000e-02,8.2775478705734606e+00
2.0000000000000000e+00,1.0000000000000000e+00,2.0000000000000001e-01,9.0899868329905331e+00
2.0000000000000000e+00,1.0000000000000000e+00,5.0000000000000000e-01,9.5505200133857180e+00
2.0000000000000000e+00,1.0000000000000000e+00,8.0000000000000004e-01,1.0011053193780905e+01
2.0000000000000000e+00,1.0000000000000000e+00,9.8999999999999999e-01,1.0823492156197975e+01
2.0000000000000000e+00,2.0000000000000000e+00,1.0000000000000000e-02,7.9859678989999887e+00
2.0000000000000000e+00,2.0000000000000000e+00,2.0000000000000001e-01,8.7984068614170603e+00
2.0000000000000000e+00,2.0000000000000000e+00,5.0000000000000000e-01,9.2589400418122452e+00
2.0000000000000000e+00,2.0000000000000000e+00,8.0000000000000004e-01,9.7194732222074318e+00
2.0000000000000000e+00,2.0000000000000000e+00,9.8999999999999999e-01,1.0531912184624503e+01
2.0000000000000000e+00,3.0000000000000000e+00,1.0000000000000000e-02,7.9830105870426271e+00
2.0000000000000000e+00,3.0000000000000000e+00,2.0000000000000001e-01,8.7954495494596987e+00
2.0000000000000000e+00,3.0000000000000000e+00,5.0000000000000000e-01,9.2559827298548836e+00
2.0000000000000000e+00,3.0000000000000000e+00,8.0000000000000004e-01,9.7165159102500702e+00
2.0000000000000000e+00,3.0000000000000000e+00,9.8999999999999999e-01,1.0528954872667141e+01
2.0000000000000000e+00,4.0000000000000000e+00,1.0000000000000000e-02,7.9707062887744362e+00
2.0000000000000000e+00,4.0000000000000000e+00,2.0000000000000001e-01,8.7831452511915078e+00
2.0000000000000000e+00,4.0000000000000000e+00,5.0000000000000000e-01,9.2436784315866927e+00
2.0000000000000000e+00,4.0000000000000000e+00,8.0000000000000004e-01,9.7042116119818793e+00
2.0000000000000000e+00,4.0000000000000000e+00,9.8999999999999999e-01,1.0516650574398950e+01
2.0000000000000000e+00,5.0000000000000000e+00,1.0000000000000000e-02,7.9957314724608404e+00
2.0000000000000000e+00,5.0000000000000000e+00,2.0000000000000001e-01,8.8081704348779120e+00
2.0000000000000000e+00,5.0000000000000000e+00,5.0000000000000000e-01,9.2687036152730968e+00
2.0000000000000000e+00,5.0000000000000000e+00,8.0000000000000004e-01,9.7292367956682835e+00
2.0000000000000000e+00,5.0000000000000000e+00,9.8999999999999999e-01,1.0541675758085354e+01
2.0000000000000000e+00,6.0000000000000000e+00,1.0000000000000000e-02,8.0112690370034603e+00
2.0000000000000000e+00,6.0000000000000000e+00,2.0000000000000001e-01,8.8237079994205327e+00
2.0000000000000000e+00,6.0000000000000000e+00,5.0000000000000000e-01,9.2842411798157176e+00
2.0000000000000000e+00,6.0000000000000000e+00,8.0000000000000004e-01,9.7447743602109043e+00
2.0000000000000000e+00,6.0000000000000000e+00,9.8999999999999999e-01,1.0557213322627975e+01
2.0000000000000000e+00,7.0000000000000000e+00,1.0000000000000000e-02,8.2074962089226524e+00
2.0000000000000000e+00,7.0000000000000000e+00,2.0000000000000001e-01,9.0324615201508482e+00
2.0000000000000000e+00,7.0000000000000000e+00,5.0000000000000000e-01,9.5000952945888937e+00
2.0000000000000000e+00,7.0000000000000000e+00,8.0000000000000004e-01,9.9677290690269409e+00
2.0000000000000000e+00,7.0000000000000000e+00,9.8999999999999999e-01,1.0792694380255135e+01
